Automatic,Gain,Control=Checked,IR,PA,(mA)=10,Red,PA,(mA)=10,IR,LED,Range,(mA)=51,Red,LED,Range,(mA)=51,ALC,+,FDM=Checked,Sample,Rate,(Hz)=100,Pulse,Width,(usec)=400,ADC,Range,(nA)=32768,FIFO,Rolls,on,Full=Checked,FIFO,Almost,Full=17,Sample,Averaging=1,IA,Gain=5,ECG,Gain=8,Sample,Rate=200,Adaptive,Filter=Checked,Notch,Freq=50/60,Cutoff,Freq=40
2/12/2020,54:25.2,51,540,33.75006437,17,1.062502027,-4104,-1.2565422,-2895,-0.886376625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.2,52,476,29.75005674,8,0.500000954,-3592,-1.0997806,-3886,-1.18979605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.2,53,525,32.81256258,0,0,-2348,-0.7188989,-4728,-1.4475954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.2,54,538,33.62506413,20,1.250002384,-1969,-0.602858575,-5198,-1.59149765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.2,55,497,31.06255925,0,0,-2097,-0.642048975,-5335,-1.633443625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.2,56,542,33.87506461,15,0.937501788,-2644,-0.8095267,-5160,-1.579863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.2,57,476,29.75005674,8,0.500000954,-5078,-1.55475665,-4905,-1.501788375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.2,58,527,32.93756282,0,0,-5861,-1.794491675,-4747,-1.453412725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.2,59,536,33.5000639,20,1.250002384,-5242,-1.60496935,-4607,-1.410548225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.2,60,499,31.18755949,0,0,-4793,-1.467496775,-4466,-1.36737755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.2,61,542,33.87506461,17,1.062502027,-4990,-1.52781325,-4466,-1.36737755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.2,62,473,29.56255639,7,0.437500834,-5176,-1.5847618,-4569,-1.398913575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.2,63,529,33.06256306,0,0,-4404,-1.3483947,-4615,-1.412997625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.2,64,539,33.68756425,22,1.375002623,-4815,-1.474232625,-4663,-1.427694025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/2020,54:25.3,65,502,31.37505984,0,0,-5331,-1.632218925,-4705,-1.440553375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
